date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2013-02-17,Gençlerbirliği,Mersin Idman Yurdu,3,1,Super Lig,,Turkey,False
2013-02-17,Orduspor,Başakşehir,2,2,Super Lig,,Turkey,False
2013-02-17,Trabzonspor,Fenerbahçe,0,3,Super Lig,,Turkey,False
2013-02-18,Kasımpaşa,Sivasspor,1,0,Super Lig,,Turkey,False
2013-02-22,Gaziantepspor,Bursaspor,2,1,Super Lig,,Turkey,False
2013-02-23,Başakşehir,Eskisehirspor,2,2,Super Lig,,Turkey,False
2013-02-23,Elazigspor,Antalyaspor,2,1,Super Lig,,Turkey,False
2013-02-23,Mersin Idman Yurdu,Trabzonspor,0,1,Super Lig,,Turkey,False
2013-02-23,Sivasspor,Beşiktaş,0,1,Super Lig,,Turkey,False
2013-02-24,Fenerbahçe,Kasımpaşa,3,1,Super Lig,,Turkey,False
2013-02-24,Karabukspor,Akhisar Belediyespor,0,2,Super Lig,,Turkey,False
2013-02-24,Kayserispor,Gençlerbirliği,1,0,Super Lig,,Turkey,False
2013-02-25,Galatasaray,Orduspor,4,2,Super Lig,,Turkey,False
2013-03-01,Gençlerbirliği,Başakşehir,0,0,Super Lig,,Turkey,False
2013-03-02,Akhisar Belediyespor,Elazigspor,0,1,Super Lig,,Turkey,False
2013-03-02,Eskisehirspor,Galatasaray,0,0,Super Lig,,Turkey,False
2013-03-02,Orduspor,Karabukspor,3,2,Super Lig,,Turkey,False
2013-03-03,Antalyaspor,Gaziantepspor,5,2,Super Lig,,Turkey,False
2013-03-03,Beşiktaş,Fenerbahçe,3,2,Super Lig,,Turkey,False
2013-03-03,Bursaspor,Sivasspor,1,0,Super Lig,,Turkey,False
2013-03-03,Kayserispor,Mersin Idman Yurdu,2,1,Super Lig,,Turkey,False
2013-03-04,Kasımpaşa,Trabzonspor,2,0,Super Lig,,Turkey,False
2013-03-08,Galatasaray,Gençlerbirliği,0,1,Super Lig,,Turkey,False
2013-03-09,Başakşehir,Kayserispor,0,0,Super Lig,,Turkey,False
2013-03-09,Gaziantepspor,Akhisar Belediyespor,2,2,Super Lig,,Turkey,False
2013-03-09,Trabzonspor,Beşiktaş,0,0,Super Lig,,Turkey,False
2013-03-10,Elazigspor,Orduspor,1,0,Super Lig,,Turkey,False
2013-03-10,Fenerbahçe,Bursaspor,4,1,Super Lig,,Turkey,False
2013-03-10,Karabukspor,Eskisehirspor,0,0,Super Lig,,Turkey,False
2013-03-10,Sivasspor,Antalyaspor,2,1,Super Lig,,Turkey,False
2013-03-11,Mersin Idman Yurdu,Kasımpaşa,1,1,Super Lig,,Turkey,False
2013-03-15,Bursaspor,Trabzonspor,3,2,Super Lig,,Turkey,False
2013-03-15,Eskisehirspor,Elazigspor,2,2,Super Lig,,Turkey,False
2013-03-16,Başakşehir,Mersin Idman Yurdu,4,2,Super Lig,,Turkey,False
2013-03-16,Beşiktaş,Kasımpaşa,1,3,Super Lig,,Turkey,False
2013-03-16,Gençlerbirliği,Karabukspor,2,1,Super Lig,,Turkey,False
2013-03-17,Akhisar Belediyespor,Sivasspor,2,1,Super Lig,,Turkey,False
2013-03-17,Antalyaspor,Fenerbahçe,1,2,Super Lig,,Turkey,False
2013-03-17,Kayserispor,Galatasaray,1,3,Super Lig,,Turkey,False
2013-03-17,Orduspor,Gaziantepspor,2,3,Super Lig,,Turkey,False
2013-03-30,Galatasaray,Başakşehir,2,0,Super Lig,,Turkey,False
2013-03-30,Gaziantepspor,Eskisehirspor,2,0,Super Lig,,Turkey,False
2013-03-30,Sivasspor,Orduspor,3,2,Super Lig,,Turkey,False
2013-03-31,Elazigspor,Gençlerbirliği,1,1,Super Lig,,Turkey,False
2013-03-31,Fenerbahçe,Akhisar Belediyespor,2,0,Super Lig,,Turkey,False
2013-03-31,Kasımpaşa,Bursaspor,2,0,Super Lig,,Turkey,False
2013-03-31,Trabzonspor,Antalyaspor,2,0,Super Lig,,Turkey,False
2013-04-01,Karabukspor,Kayserispor,3,1,Super Lig,,Turkey,False
2013-04-01,Mersin Idman Yurdu,Beşiktaş,1,2,Super Lig,,Turkey,False
2013-04-05,Antalyaspor,Kasımpaşa,3,2,Super Lig,,Turkey,False
2013-04-06,Başakşehir,Karabukspor,2,2,Super Lig,,Turkey,False
2013-04-06,Galatasaray,Mersin Idman Yurdu,3,1,Super Lig,,Turkey,False
2013-04-06,Kayserispor,Elazigspor,4,1,Super Lig,,Turkey,False
2013-04-07,Akhisar Belediyespor,Trabzonspor,1,0,Super Lig,,Turkey,False
2013-04-07,Eskisehirspor,Sivasspor,2,1,Super Lig,,Turkey,False
2013-04-07,Gençlerbirliği,Gaziantepspor,2,2,Super Lig,,Turkey,False
2013-04-07,Orduspor,Fenerbahçe,0,2,Super Lig,,Turkey,False
2013-04-08,Bursaspor,Beşiktaş,3,0,Super Lig,,Turkey,False
2013-04-12,Sivasspor,Gençlerbirliği,1,1,Super Lig,,Turkey,False
2013-04-12,Trabzonspor,Orduspor,1,0,Super Lig,,Turkey,False
2013-04-13,Karabukspor,Galatasaray,0,1,Super Lig,,Turkey,False
2013-04-13,Mersin Idman Yurdu,Bursaspor,0,1,Super Lig,,Turkey,False
2013-04-14,Elazigspor,Başakşehir,1,0,Super Lig,,Turkey,False
2013-04-14,Fenerbahçe,Eskisehirspor,1,0,Super Lig,,Turkey,False
2013-04-14,Gaziantepspor,Kayserispor,0,1,Super Lig,,Turkey,False
2013-04-14,Kasımpaşa,Akhisar Belediyespor,0,1,Super Lig,,Turkey,False
2013-04-15,Beşiktaş,Antalyaspor,1,0,Super Lig,,Turkey,False
2013-04-19,Galatasaray,Elazigspor,3,1,Super Lig,,Turkey,False
2013-04-20,Akhisar Belediyespor,Beşiktaş,4,1,Super Lig,,Turkey,False
2013-04-20,Karabukspor,Mersin Idman Yurdu,1,0,Super Lig,,Turkey,False
2013-04-20,Orduspor,Kasımpaşa,0,2,Super Lig,,Turkey,False
2013-04-21,Antalyaspor,Bursaspor,0,1,Super Lig,,Turkey,False
2013-04-21,Başakşehir,Gaziantepspor,1,3,Super Lig,,Turkey,False
2013-04-21,Gençlerbirliği,Fenerbahçe,2,0,Super Lig,,Turkey,False
2013-04-21,Kayserispor,Sivasspor,1,1,Super Lig,,Turkey,False
2013-04-22,Eskisehirspor,Trabzonspor,0,1,Super Lig,,Turkey,False
2013-04-26,Mersin Idman Yurdu,Antalyaspor,1,1,Super Lig,,Turkey,False
2013-04-27,Beşiktaş,Orduspor,2,0,Super Lig,,Turkey,False
2013-04-27,Bursaspor,Akhisar Belediyespor,1,1,Super Lig,,Turkey,False
2013-04-27,Elazigspor,Karabukspor,1,0,Super Lig,,Turkey,False
2013-04-27,Sivasspor,Başakşehir,4,1,Super Lig,,Turkey,False
2013-04-27,Trabzonspor,Gençlerbirliği,2,0,Super Lig,,Turkey,False
2013-04-28,Fenerbahçe,Kayserispor,2,1,Super Lig,,Turkey,False
2013-04-28,Gaziantepspor,Galatasaray,0,1,Super Lig,,Turkey,False
2013-04-28,Kasımpaşa,Eskisehirspor,1,2,Super Lig,,Turkey,False
2013-05-03,Gençlerbirliği,Kasımpaşa,0,0,Super Lig,,Turkey,False
2013-05-04,Kayserispor,Trabzonspor,2,1,Super Lig,,Turkey,False
2013-05-04,Orduspor,Bursaspor,2,4,Super Lig,,Turkey,False
2013-05-05,Antalyaspor,Akhisar Belediyespor,4,3,Super Lig,,Turkey,False
2013-05-05,Başakşehir,Fenerbahçe,2,0,Super Lig,,Turkey,False
2013-05-05,Eskisehirspor,Beşiktaş,1,2,Super Lig,,Turkey,False
2013-05-05,Galatasaray,Sivasspor,4,2,Super Lig,,Turkey,False
2013-05-05,Karabukspor,Gaziantepspor,0,2,Super Lig,,Turkey,False
2013-05-05,Mersin Idman Yurdu,Elazigspor,0,2,Super Lig,,Turkey,False
2013-05-10,Gaziantepspor,Elazigspor,1,1,Super Lig,,Turkey,False
2013-05-10,Kasımpaşa,Kayserispor,1,2,Super Lig,,Turkey,False
2013-05-11,Antalyaspor,Orduspor,1,0,Super Lig,,Turkey,False
2013-05-11,Beşiktaş,Gençlerbirliği,3,0,Super Lig,,Turkey,False
2013-05-12,Fenerbahçe,Galatasaray,2,1,Super Lig,,Turkey,False
2013-05-13,Akhisar Belediyespor,Mersin Idman Yurdu,1,0,Super Lig,,Turkey,False
2013-05-13,Bursaspor,Eskisehirspor,0,0,Super Lig,,Turkey,False
2013-05-13,Sivasspor,Karabukspor,2,1,Super Lig,,Turkey,False
2013-05-13,Trabzonspor,Başakşehir,4,3,Super Lig,,Turkey,False
2013-05-17,Mersin Idman Yurdu,Gaziantepspor,1,2,Super Lig,,Turkey,False
2013-05-18,Başakşehir,Kasımpaşa,1,2,Super Lig,,Turkey,False
2013-05-18,Galatasaray,Trabzonspor,2,0,Super Lig,,Turkey,False
2013-05-18,Karabukspor,Fenerbahçe,3,2,Super Lig,,Turkey,False
2013-05-18,Orduspor,Akhisar Belediyespor,0,2,Super Lig,,Turkey,False
2013-05-19,Elazigspor,Sivasspor,0,0,Super Lig,,Turkey,False
2013-05-19,Eskisehirspor,Antalyaspor,3,1,Super Lig,,Turkey,False
2013-05-19,Gençlerbirliği,Bursaspor,2,2,Super Lig,,Turkey,False
2013-05-19,Kayserispor,Beşiktaş,2,0,Super Lig,,Turkey,False
2013-08-16,Antalyaspor,Erciyesspor,0,0,Super Lig,,Turkey,False
2013-08-17,Karabukspor,Kasımpaşa,2,0,Super Lig,,Turkey,False
2013-08-17,Konyaspor,Fenerbahçe,3,2,Super Lig,,Turkey,False
